ad_type,impressions,spend_usd,geo_targeting_included
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Video,<=10k,<100,New York
Video,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Video,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Video,<=10k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Video,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,<=10k,<100,New York
Video,<=10k,<100,New York
Image,<=10k,<100,New York
Video,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Video,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Video,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Video,<=10k,<100,New York
Text,<=10k,<100,New York
Video,<=10k,<100,New York
Image,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Video,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,10k-100k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,10k-100k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Video,<=10k,<100,New York
Image,<=10k,<100,New York
Video,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Video,<=10k,<100,New York
Image,<=10k,<100,New York
Video,<=10k,<100,New York
Video,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,10k-100k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,10k-100k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Video,<=10k,<100,New York
Image,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,10k-100k,<100,New York
Image,10k-100k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Video,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Video,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Video,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Video,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,10k-100k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Video,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Video,<=10k,<100,New York
Video,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Video,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Video,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Video,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,10k-100k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Video,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,10k-100k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Video,<=10k,<100,New York
Video,<=10k,<100,New York
Text,10k-100k,<100,New York
Video,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,10k-100k,<100,New York
Image,<=10k,<100,New York
Video,<=10k,<100,New York
Text,10k-100k,<100,New York
Text,10k-100k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Text,10k-100k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Video,10k-100k,<100,New York
Image,<=10k,<100,New York
Image,10k-100k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Video,10k-100k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Video,<=10k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Text,10k-100k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Video,<=10k,<100,New York
Image,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,10k-100k,<100,New York
Video,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Text,<=10k,<100,New York
Video,<=10k,<100,New York
Image,<=10k,<100,New York
Image,10k-100k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Text,<=10k,<100,New York
Text,10k-100k,<100,New York
Image,10k-100k,<100,New York
Text,<=10k,<100,New York
Image,100k-1M,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Video,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,<=10k,<100,New York
Image,10k-100k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Video,<=10k,<100,New York
Video,<=10k,<100,New York
Text,<=10k,<100,New York
Video,10k-100k,<100,New York
Image,10k-100k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Video,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Text,<=10k,<100,New York
Image,100k-1M,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,10k-100k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Text,10k-100k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,100k-1M,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,100k-1M,<100,New York
Video,<=10k,<100,New York
Text,100k-1M,50k-100k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Image,10k-100k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Image,100k-1M,100-1k,New York
Image,10k-100k,100-1k,New York
Text,<=10k,100-1k,New York
Text,10k-100k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Video,10k-100k,100-1k,New York
Text,10k-100k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Video,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Image,100k-1M,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Text,10k-100k,100-1k,New York
Text,<=10k,100-1k,New York
Text,10k-100k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Image,10k-100k,100-1k,New York
Video,10k-100k,100-1k,New York
Text,<=10k,100-1k,New York
Video,10k-100k,100-1k,New York
Text,<=10k,100-1k,New York
Text,10k-100k,100-1k,New York
Text,<=10k,100-1k,New York
Text,10k-100k,100-1k,New York
Image,10k-100k,100-1k,New York
Image,10k-100k,100-1k,New York
Text,10k-100k,100-1k,New York
Video,10k-100k,100-1k,New York
Image,10k-100k,100-1k,New York
Image,100k-1M,100-1k,New York
Text,<=10k,100-1k,New York
Video,<=10k,100-1k,New York
Image,10k-100k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Image,10k-100k,100-1k,New York
Image,10k-100k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Image,10k-100k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Image,100k-1M,100-1k,New York
Text,<=10k,100-1k,New York
Image,10k-100k,100-1k,New York
Text,<=10k,100-1k,New York
Text,10k-100k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Image,10k-100k,100-1k,New York
Image,100k-1M,100-1k,New York
Video,10k-100k,100-1k,New York
Video,10k-100k,100-1k,New York
Video,10k-100k,100-1k,New York
Image,100k-1M,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Video,10k-100k,100-1k,New York
Video,10k-100k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Image,100k-1M,100-1k,New York
Image,10k-100k,100-1k,New York
Image,100k-1M,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Video,<=10k,100-1k,New York
Image,100k-1M,100-1k,New York
Text,10k-100k,100-1k,New York
Image,100k-1M,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Image,10k-100k,100-1k,New York
Text,10k-100k,100-1k,New York
Image,100k-1M,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Image,10k-100k,100-1k,New York
Image,100k-1M,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Text,10k-100k,100-1k,New York
Image,100k-1M,100-1k,New York
Text,10k-100k,100-1k,New York
Image,100k-1M,100-1k,New York
Text,100k-1M,100-1k,New York
Video,10k-100k,100-1k,New York
Video,10k-100k,100-1k,New York
Image,100k-1M,100-1k,New York
Text,<=10k,100-1k,New York
Video,100k-1M,100-1k,New York
Video,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Video,<=10k,100-1k,New York
Image,10k-100k,100-1k,New York
Text,10k-100k,100-1k,New York
Video,10k-100k,100-1k,New York
Text,10k-100k,100-1k,New York
Image,100k-1M,100-1k,New York
Image,100k-1M,100-1k,New York
Video,10k-100k,100-1k,New York
Video,10k-100k,100-1k,New York
Image,10k-100k,100-1k,New York
Video,10k-100k,100-1k,New York
Image,10k-100k,100-1k,New York
Text,10k-100k,100-1k,New York
Image,100k-1M,100-1k,New York
Text,10k-100k,100-1k,New York
Image,100k-1M,100-1k,New York
Image,100k-1M,100-1k,New York
Image,100k-1M,100-1k,New York
Text,10k-100k,100-1k,New York
Video,10k-100k,100-1k,New York
Text,<=10k,100-1k,New York
Text,<=10k,100-1k,New York
Image,10k-100k,100-1k,New York
Image,100k-1M,100-1k,New York
Video,10k-100k,100-1k,New York
Text,<=10k,100-1k,New York
Video,10k-100k,100-1k,New York
Image,10k-100k,100-1k,New York
Text,10k-100k,100-1k,New York
Text,10k-100k,100-1k,New York
Image,100k-1M,100-1k,New York
Text,<=10k,100-1k,New York
Video,10k-100k,100-1k,New York
Text,10k-100k,100-1k,New York
Text,<=10k,100-1k,New York
Text,10k-100k,100-1k,New York
Text,<=10k,100-1k,New York
Image,100k-1M,100-1k,New York
Text,<=10k,100-1k,New York
Video,100k-1M,1k-50k,New York
Video,100k-1M,1k-50k,New York
Text,100k-1M,1k-50k,New York
Video,1M-10M,1k-50k,New York
Video,1M-10M,1k-50k,New York
Text,10k-100k,1k-50k,New York
Video,10k-100k,1k-50k,New York
Text,10k-100k,1k-50k,New York
Text,10k-100k,1k-50k,New York
Video,10k-100k,1k-50k,New York
Text,10k-100k,1k-50k,New York
Video,100k-1M,1k-50k,New York
Image,100k-1M,1k-50k,New York
Image,100k-1M,1k-50k,New York
Text,10k-100k,1k-50k,New York
Image,100k-1M,1k-50k,New York
Video,100k-1M,1k-50k,New York
Text,<=10k,1k-50k,New York
Video,100k-1M,1k-50k,New York
Text,10k-100k,1k-50k,New York
Video,100k-1M,1k-50k,New York
Image,100k-1M,1k-50k,New York
Text,10k-100k,1k-50k,New York
Video,100k-1M,1k-50k,New York
Text,10k-100k,1k-50k,New York
Text,10k-100k,1k-50k,New York
Text,10k-100k,1k-50k,New York
Text,10k-100k,1k-50k,New York
Video,10k-100k,1k-50k,New York
Image,100k-1M,1k-50k,New York
Video,100k-1M,1k-50k,New York
Text,100k-1M,1k-50k,New York
Image,10k-100k,1k-50k,New York
Video,10k-100k,1k-50k,New York
Video,100k-1M,1k-50k,New York
Text,10k-100k,1k-50k,New York
Image,100k-1M,1k-50k,New York
Text,10k-100k,1k-50k,New York
Text,10k-100k,1k-50k,New York
Video,100k-1M,1k-50k,New York
Text,<=10k,1k-50k,New York
Text,10k-100k,1k-50k,New York
Text,100k-1M,1k-50k,New York
Text,10k-100k,1k-50k,New York
Text,10k-100k,1k-50k,New York
Video,100k-1M,1k-50k,New York
Text,<=10k,1k-50k,New York
Video,100k-1M,1k-50k,New York
Text,10k-100k,1k-50k,New York
Image,100k-1M,1k-50k,New York
Video,100k-1M,1k-50k,New York
Image,100k-1M,1k-50k,New York
Text,10k-100k,1k-50k,New York
Text,<=10k,1k-50k,New York
Text,10k-100k,1k-50k,New York
Image,100k-1M,1k-50k,New York
Text,10k-100k,1k-50k,New York
Text,10k-100k,1k-50k,New York
Image,100k-1M,1k-50k,New York
Text,10k-100k,1k-50k,New York
Text,10k-100k,1k-50k,New York
Text,10k-100k,1k-50k,New York
Text,10k-100k,1k-50k,New York
Video,100k-1M,1k-50k,New York
Video,100k-1M,1k-50k,New York
Image,100k-1M,1k-50k,New York
Video,100k-1M,1k-50k,New York
Text,100k-1M,1k-50k,New York
Text,<=10k,1k-50k,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Video,<=10k,<100,New York
Video,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Video,<=10k,<100,New York
Image,<=10k,<100,New York
Video,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Video,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,<=10k,<100,New York
Text,10k-100k,<100,New York
Image,<=10k,<100,New York
Video,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Video,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,10k-100k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,10k-100k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Video,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Video,<=10k,<100,New York
Video,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Text,<=10k,<100,New York
Image,10k-100k,<100,New York
Image,10k-100k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Image,<=10k,<100,New York
Text,<=10k,<100,New York
